"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10121","radio button check","chromium","Sat Oct 18 10:53:27 MSK 2025","passed","Sat Oct 18 10:53:37 MSK 2025","","radiobutton.spec.js","",""
"","19743","valid link should open/navigate and target page should contain expected title or url","firefox","Sat Oct 18 10:53:50 MSK 2025","failed","Sat Oct 18 10:54:10 MSK 2025","","brokenlinks.spec.js","",""
"","1278","test","firefox","Sat Oct 18 10:54:29 MSK 2025","passed","Sat Oct 18 10:54:30 MSK 2025","","test-1.spec.ts","",""
"","15082","broken image should not be loaded (naturalWidth === 0)","webkit","Sat Oct 18 10:55:39 MSK 2025","passed","Sat Oct 18 10:55:54 MSK 2025","","brokenlinks.spec.js","",""
"","10868","download file test with async/await","webkit","Sat Oct 18 10:56:28 MSK 2025","passed","Sat Oct 18 10:56:39 MSK 2025","","uploaddownload.spec.js","",""
"","23389","radio button check","firefox","Sat Oct 18 10:54:25 MSK 2025","passed","Sat Oct 18 10:54:49 MSK 2025","","radiobutton.spec.js","",""
"","19711","элемент появляется на странице спустя 5 секунд","webkit","Sat Oct 18 10:55:53 MSK 2025","passed","Sat Oct 18 10:56:13 MSK 2025","","dynamicproperties.spec.js","",""
"","13539","broken link should return HTTP 500","webkit","Sat Oct 18 10:55:39 MSK 2025","passed","Sat Oct 18 10:55:53 MSK 2025","","brokenlinks.spec.js","",""
"","7636","check main checkbox","chromium","Sat Oct 18 10:53:19 MSK 2025","passed","Sat Oct 18 10:53:27 MSK 2025","","checkbox.spec.js","",""
"","259","test","chromium","Sat Oct 18 10:53:31 MSK 2025","passed","Sat Oct 18 10:53:31 MSK 2025","","test-1.spec.ts","",""
"","10946","upload file test","chromium","Sat Oct 18 10:53:34 MSK 2025","passed","Sat Oct 18 10:53:45 MSK 2025","","uploaddownload.spec.js","",""
"","12340","broken image should not be loaded (naturalWidth === 0)","chromium","Sat Oct 18 10:53:06 MSK 2025","passed","Sat Oct 18 10:53:18 MSK 2025","","brokenlinks.spec.js","",""
"","31306","first two links open new tab and contain expected title","webkit","Sat Oct 18 10:55:55 MSK 2025","broken","Sat Oct 18 10:56:26 MSK 2025","","links.spec.js","",""
"","13321","valid link should open/navigate and target page should contain expected title or url","chromium","Sat Oct 18 10:53:06 MSK 2025","passed","Sat Oct 18 10:53:19 MSK 2025","","brokenlinks.spec.js","",""
